x1,x2,x3,x4,x5,Time
-7.42E-01,-7.77E-01,-1.48E+00,-2.37E+00,-1.40E+00,0
7.06E-01,-3.12E+00,1.60E+00,-2.14E+00,-4.99E+00,0.002
-1.34E+00,-1.55E+00,-1.74E+00,-1.96E+00,-4.58E-01,0.004
-2.08E+00,-3.73E-01,-3.08E+00,-1.48E+00,2.60E+00,0.006
1.23E+00,1.09E+00,2.44E+00,1.94E+00,-1.58E+00,0.008
2.70E+00,2.64E+00,2.30E+00,2.31E+00,1.27E+00,0.01
1.25E+00,1.44E+00,1.56E+00,9.25E-01,-8.39E-01,0.012
-1.08E+00,-2.07E-01,-3.02E+00,-1.45E+00,1.28E+00,0.014
-1.10E+00,1.13E+00,-3.11E+00,-7.78E-01,4.54E+00,0.016
-1.78E+00,-1.76E+00,-2.24E+00,-1.52E+00,-1.10E-01,0.018
-6.41E-02,-2.55E-01,-2.85E+00,-2.26E+00,1.16E+00,0.02
-1.03E-01,-1.98E+00,8.89E-01,-4.39E-01,-2.09E+00,0.022
1.14E+00,1.50E+00,-1.36E+00,4.11E-01,1.45E+00,0.024
2.19E-01,-4.75E-01,1.80E+00,7.00E-01,-1.12E+00,0.026
1.60E+00,1.07E-01,7.09E-01,6.82E-01,4.69E-01,0.028
5.41E-01,-3.09E+00,1.34E+00,-2.20E+00,-6.44E+00,0.03
-1.32E+00,-8.65E-01,-1.26E+00,-9.18E-01,-1.46E+00,0.032
2.51E-01,2.03E+00,5.02E-01,1.99E+00,2.34E+00,0.034
1.05E+00,1.58E-01,1.43E+00,-8.84E-02,-3.51E+00,0.036
-2.50E+00,-1.65E+00,-3.56E+00,-1.83E+00,1.41E+00,0.038
1.23E+00,-2.80E-01,1.10E+00,6.92E-01,-3.81E-01,0.04
-4.70E-01,1.37E+00,-1.54E+00,-2.92E-01,1.53E+00,0.042
1.18E+00,-3.38E-01,8.58E-01,-4.22E-01,-2.32E+00,0.044
3.89E-01,1.09E+00,1.37E+00,1.26E+00,1.08E+00,0.046
-2.21E+00,-2.86E+00,-1.32E+00,-1.49E+00,-1.33E+00,0.048
6.22E-01,1.28E+00,2.35E+00,2.42E+00,6.39E-01,0.05
1.33E+00,1.05E+00,1.80E+00,1.01E+00,8.02E-02,0.052
9.33E-02,-6.77E-01,1.67E+00,4.77E-01,-7.51E-01,0.054
-1.43E+00,-2.55E+00,-6.47E-01,-1.46E+00,-1.63E+00,0.056
5.77E-01,2.36E-01,-1.80E-02,2.24E-02,5.44E-02,0.058
2.74E+00,1.41E+00,9.75E-01,1.05E+00,1.04E+00,0.06
5.81E-01,2.35E-01,4.41E-01,5.69E-01,-2.13E-01,0.062
-7.42E-01,3.08E-02,-6.71E-01,1.69E-01,-8.66E-02,0.064
9.34E-01,1.02E+00,7.73E-01,6.41E-01,1.32E+00,0.066
-1.54E+00,-1.22E+00,-1.05E+00,-3.63E-01,-1.61E+00,0.068
7.12E-01,4.71E-01,5.37E-02,6.39E-02,4.99E-01,0.07
7.01E-01,1.78E+00,-6.99E-01,3.28E-02,1.09E+00,0.072
6.63E-01,1.39E-01,1.70E+00,1.12E+00,7.46E-01,0.074
2.59E+00,1.37E+00,2.69E+00,3.32E-01,-4.61E-01,0.076
-1.58E+00,1.39E-01,-3.60E-01,2.72E-01,4.43E-01,0.078
1.14E+00,1.33E+00,8.67E-01,1.71E+00,6.42E-01,0.08
-1.34E+00,2.49E-01,-1.57E+00,-1.73E-03,1.43E+00,0.082
4.87E-01,1.34E+00,1.10E-01,7.19E-01,8.94E-02,0.084
7.64E-01,1.79E+00,1.07E+00,1.34E+00,-1.36E+00,0.086
1.13E+00,-6.15E-01,1.26E+00,-1.57E+00,-3.16E+00,0.088
-1.35E+00,-7.34E-01,5.27E-02,-3.59E-01,-2.33E+00,0.09
6.01E-01,8.46E-01,5.70E-01,4.61E-01,1.08E-01,0.092
-1.61E+00,1.74E-02,-2.67E+00,-9.41E-01,1.94E-01,0.094
-5.92E-02,1.40E-01,-1.30E+00,-7.52E-01,-5.48E-02,0.096
2.68E-01,5.24E-01,1.43E-01,2.55E-01,4.66E-03,0.098
-4.99E-01,3.83E-01,-2.46E+00,-1.33E+00,-1.36E-02,0.1
5.14E-01,1.65E+00,-9.17E-01,-4.05E-02,1.00E+00,0.102
1.26E+00,3.03E+00,2.87E-01,2.28E+00,2.85E+00,0.104
3.81E-01,-1.64E+00,-7.66E-02,-2.38E+00,-3.86E+00,0.106
-2.32E-01,6.95E-01,-5.04E-01,2.60E-01,5.34E-01,0.108
3.31E-01,7.39E-01,1.55E+00,1.79E+00,1.34E+00,0.11
1.70E-03,9.22E-01,-6.42E-01,4.87E-01,8.03E-01,0.112
4.23E-01,-1.78E+00,5.41E-01,-2.64E+00,-4.86E+00,0.114
-2.67E+00,-2.75E+00,-2.52E+00,-1.87E+00,-1.10E+00,0.116
5.68E-01,1.47E+00,-7.87E-01,7.20E-01,1.46E+00,0.118
-5.25E-01,-1.51E+00,-5.48E-01,-1.47E+00,-2.77E+00,0.12
2.14E+00,1.79E+00,1.49E+00,7.47E-01,-3.34E-01,0.122
4.41E+00,3.10E+00,3.02E+00,2.89E+00,2.58E+00,0.124
6.10E-01,-1.59E+00,1.60E-01,-4.54E-01,-7.84E-01,0.126
-2.80E+00,-2.51E+00,-1.33E+00,-1.49E+00,-5.22E-01,0.128
7.46E-01,1.00E+00,7.16E-01,1.28E-01,-1.37E+00,0.13
5.02E-01,1.70E+00,7.95E-01,1.99E+00,1.90E+00,0.132
-1.69E-01,2.15E-01,-3.59E-01,9.49E-01,7.23E-01,0.134
-3.56E-02,-3.70E-01,7.54E-02,-1.66E-01,-1.07E+00,0.136
-1.56E+00,-1.51E+00,-2.20E+00,-2.45E+00,-1.41E+00,0.138
-6.99E-01,4.27E-01,-1.80E+00,-8.52E-01,1.26E+00,0.14
-1.55E+00,1.38E+00,-9.96E-01,1.34E+00,-1.07E-02,0.142
5.50E-01,9.91E-01,1.53E+00,1.96E+00,3.48E-01,0.144
7.78E-01,1.74E+00,4.89E-01,4.71E-01,-8.13E-01,0.146
-1.46E+00,-6.02E-02,-1.32E+00,-8.90E-01,5.89E-01,0.148
5.04E-01,-1.05E+00,1.12E+00,-8.22E-01,6.34E-01,0.15
1.76E+00,2.38E+00,7.16E-01,1.69E+00,2.04E+00,0.152
-2.16E+00,-3.04E+00,7.70E-02,-6.93E-01,-2.06E+00,0.154
1.68E-01,-9.25E-01,9.30E-02,-1.12E+00,-2.02E+00,0.156
-1.27E+00,-1.75E+00,-1.16E+00,-1.45E+00,-1.44E+00,0.158
-2.97E+00,-9.45E-01,-2.00E+00,-4.45E-01,4.43E-01,0.16
-7.52E-01,-1.94E+00,4.60E-01,-1.28E+00,-1.96E+00,0.162
-1.11E-01,-1.37E+00,1.19E-01,-1.21E+00,7.06E-01,0.164
-1.99E+00,-1.53E+00,-1.78E+00,-3.78E-01,6.46E-01,0.166
1.53E+00,3.14E-01,6.91E-01,-8.37E-01,-2.57E+00,0.168
3.18E+00,1.64E+00,3.52E+00,1.28E+00,-3.28E-01,0.17
2.72E+00,1.80E+00,2.77E+00,1.28E+00,-7.68E-01,0.172
2.81E+00,6.75E-01,2.21E+00,-3.64E-01,-2.51E+00,0.174
2.39E+00,7.01E-01,2.74E+00,6.62E-01,-1.25E+00,0.176
-1.33E+00,-6.51E-01,-8.30E-01,-1.27E+00,-1.76E-01,0.178
2.25E-01,-1.13E+00,2.24E-01,-1.08E+00,-1.05E+00,0.18
-6.81E-01,-5.59E-01,-5.74E-01,3.05E-01,-3.91E-01,0.182
-1.29E+00,-8.14E-02,-7.17E-01,-6.22E-01,-4.38E-01,0.184
-4.45E-01,-1.20E+00,5.95E-01,-1.29E+00,-2.90E+00,0.186
3.07E+00,2.19E+00,1.86E+00,2.22E-01,-6.67E-01,0.188
-1.31E+00,-9.79E-01,-1.90E+00,-1.71E+00,-1.78E+00,0.19
-5.49E-02,3.75E-01,-6.58E-01,-2.28E-01,-1.40E+00,0.192
-4.13E-01,1.03E+00,2.11E-01,1.49E+00,1.57E-01,0.194
-1.53E+00,-1.21E+00,3.08E-02,-7.98E-01,-3.80E-01,0.196
8.16E-01,4.95E-01,1.28E+00,1.45E+00,2.54E+00,0.198
-5.77E-01,-1.03E+00,-3.42E-01,-1.31E+00,-1.58E+00,0.2
-2.59E+00,-4.27E-01,-1.81E+00,-7.50E-03,1.60E+00,0.202
4.02E-02,4.11E-03,1.38E+00,4.74E-01,2.07E-01,0.204
-3.38E+00,-2.83E+00,-2.56E+00,-1.69E+00,-1.44E+00,0.206
-1.35E+00,-2.31E-01,-1.77E+00,-3.38E-01,-1.18E+00,0.208
-1.78E+00,-9.01E-01,-1.11E+00,-6.68E-01,-2.95E-01,0.21
-2.80E+00,-3.23E+00,-1.96E+00,-2.92E+00,-2.70E+00,0.212
5.52E-01,1.79E-01,5.50E-01,-9.10E-01,4.02E-01,0.214
-7.90E-01,-2.74E+00,-5.28E-01,-2.53E+00,-2.05E+00,0.216
-2.64E-01,-1.22E+00,5.27E-01,-1.14E+00,-1.28E+00,0.218
-1.57E+00,-1.74E+00,-2.23E+00,-2.14E+00,-2.13E+00,0.22
1.07E+00,6.53E-01,8.95E-01,7.52E-01,-6.82E-01,0.222
-1.66E+00,-1.54E+00,-1.03E+00,-7.85E-01,-2.69E-01,0.224
-1.79E-01,5.21E-01,4.99E-02,5.30E-01,6.66E-01,0.226
-1.14E+00,-2.94E+00,-3.78E-01,-1.99E+00,-1.43E+00,0.228
-1.91E+00,-1.97E+00,-1.46E+00,-1.84E+00,-4.87E-01,0.23
-2.72E+00,-3.79E+00,-3.36E+00,-4.01E+00,-2.39E+00,0.232
-5.60E-01,-1.99E+00,1.34E+00,-5.83E-01,-8.61E-01,0.234
-2.31E+00,-3.04E+00,-1.92E+00,-2.73E+00,-4.54E+00,0.236
-1.73E-01,2.56E-01,-9.26E-01,-3.02E-01,-1.77E+00,0.238
2.79E-01,1.07E+00,-1.03E-01,1.67E+00,3.82E-01,0.24
1.42E+00,2.79E+00,1.76E+00,2.83E+00,4.05E+00,0.242
-1.03E+00,-3.11E+00,-1.75E+00,-4.36E+00,-4.88E+00,0.244
1.05E-02,-1.12E+00,3.58E-01,6.25E-01,-2.00E-01,0.246
-2.62E-01,-2.61E-01,-1.42E+00,-2.03E-01,5.15E-01,0.248
9.62E-01,-2.48E-01,4.66E-01,-7.67E-01,-1.87E+00,0.25
-2.25E+00,-2.43E+00,-2.13E+00,-2.73E+00,-3.49E+00,0.252
7.00E-01,-5.51E-01,1.12E+00,-4.91E-03,3.36E-01,0.254
5.06E-01,2.58E+00,7.45E-01,2.58E+00,2.03E+00,0.256
-2.14E-01,8.28E-01,-5.15E-01,5.65E-01,5.38E-02,0.258
-9.18E-01,-4.52E-01,-3.76E+00,-3.15E+00,-9.69E-01,0.26
-3.19E-01,-2.76E+00,-5.95E-01,-2.08E+00,-4.56E+00,0.262
3.90E-01,-4.84E-01,3.54E-01,-2.59E-01,-2.78E+00,0.264
7.58E-01,7.15E-02,1.97E+00,9.47E-01,5.70E-01,0.266
-1.86E+00,-2.44E+00,-1.41E+00,-2.05E+00,-2.23E+00,0.268
-5.49E-01,4.36E-01,-1.11E+00,-3.74E-01,-7.73E-02,0.27
-9.30E-01,-2.17E-01,2.90E-01,7.55E-01,7.56E-01,0.272
7.37E-01,8.20E-01,1.28E-01,1.59E+00,1.47E+00,0.274
-2.57E+00,-2.95E+00,-2.67E+00,-3.57E+00,-1.57E+00,0.276
7.73E-02,7.17E-01,5.73E-01,1.11E+00,2.36E-01,0.278
2.02E+00,3.96E+00,3.64E+00,4.93E+00,4.39E+00,0.28
-1.50E+00,-2.65E+00,-3.95E-01,-1.57E+00,-3.74E-01,0.282
3.23E+00,3.83E+00,4.15E+00,3.56E+00,4.56E+00,0.284
-1.45E+00,-1.05E+00,-2.46E+00,-2.92E+00,-1.00E+00,0.286
1.36E+00,1.03E+00,2.37E-01,-1.66E-02,1.43E+00,0.288
-9.10E-02,-9.92E-01,-8.62E-01,-1.00E+00,1.59E+00,0.29
8.86E-01,-4.52E-01,7.15E-01,-1.75E-01,-9.22E-01,0.292
-8.34E-01,-9.54E-01,-1.55E-01,-7.16E-01,-7.68E-01,0.294
2.61E+00,3.57E+00,3.35E+00,3.66E+00,2.36E+00,0.296
-7.64E-01,-2.58E+00,-9.92E-01,-2.14E+00,-1.23E+00,0.298
5.34E+00,6.00E+00,5.42E+00,4.94E+00,5.76E+00,0.3
-1.25E+00,-1.61E+00,-1.32E-01,-1.25E+00,-2.08E+00,0.302
2.34E-01,-6.38E-01,5.03E-01,-4.01E-01,-2.06E+00,0.304
-1.72E-01,3.29E-01,5.39E-01,8.64E-02,1.02E+00,0.306
6.67E-01,6.30E-01,1.84E+00,1.70E+00,1.63E-01,0.308
-2.69E+00,-2.78E+00,-1.95E+00,-2.48E+00,-2.23E+00,0.31
1.54E+00,-6.59E-01,2.62E+00,3.69E-01,1.82E-01,0.312
7.26E-01,1.64E+00,7.57E-01,1.59E+00,7.45E-01,0.314
1.70E-01,1.06E+00,8.59E-01,5.81E-01,2.52E+00,0.316
-3.30E-01,-5.79E-02,1.18E+00,1.12E+00,2.56E+00,0.318
-7.18E-01,-1.49E+00,-7.88E-01,-7.66E-01,-6.73E-01,0.32
-2.75E+00,-2.89E+00,-1.47E+00,-1.80E+00,-1.80E+00,0.322
2.87E+00,2.68E+00,1.31E+00,8.90E-01,-1.76E-01,0.324
5.98E-01,2.35E+00,8.77E-01,3.05E+00,3.96E+00,0.326
5.68E-01,5.15E-01,1.45E+00,1.44E+00,1.32E+00,0.328
8.66E-01,2.81E-01,6.66E-01,4.90E-01,-4.29E-01,0.33
1.48E+00,-5.48E-02,2.06E+00,2.44E-01,-1.39E+00,0.332
-3.96E-01,1.35E-01,4.52E-01,7.97E-01,6.28E-01,0.334
-8.85E-02,5.54E-01,1.64E+00,2.35E+00,1.15E+00,0.336
1.24E+00,-1.30E-01,7.76E-01,-2.35E-01,-1.32E+00,0.338
3.18E+00,2.77E+00,8.28E-01,8.51E-01,-6.41E-01,0.34
3.01E-01,9.30E-01,1.41E+00,2.47E+00,9.45E-01,0.342
-1.38E-01,1.49E+00,-4.28E-02,1.14E+00,2.68E+00,0.344
7.10E-01,1.23E+00,7.04E-01,3.41E-01,9.27E-01,0.346
-1.51E+00,-3.36E+00,-1.12E+00,-2.47E+00,-1.83E+00,0.348
-7.66E-01,-6.08E-01,2.23E-01,1.09E-01,-1.04E+00,0.35
-9.16E-01,-1.54E+00,-2.02E+00,-2.50E+00,-2.60E+00,0.352
6.98E-01,4.34E-01,2.31E+00,1.58E+00,1.88E+00,0.354
-8.22E-02,1.09E+00,-6.13E-01,6.10E-01,3.51E-01,0.356
-1.06E+00,-1.31E+00,-1.04E+00,-1.17E+00,7.25E-01,0.358
1.14E+00,1.30E+00,1.52E+00,1.68E+00,3.97E-01,0.36
-5.39E-01,5.86E-01,-2.19E+00,-1.56E+00,-2.28E+00,0.362
-2.78E+00,-4.20E+00,-7.81E-01,-2.00E+00,-2.28E+00,0.364
-9.11E-01,-3.66E-01,-8.24E-01,-6.45E-02,1.97E+00,0.366
-1.19E+00,-9.18E-01,-2.05E+00,-2.46E+00,-3.97E-02,0.368
2.72E+00,9.10E-01,3.14E+00,1.25E+00,6.39E-02,0.37
-2.01E+00,-2.43E+00,-6.64E-01,-9.37E-01,-5.42E-01,0.372
1.44E-01,1.23E+00,-1.20E+00,-5.77E-01,-2.19E-02,0.374
5.34E-01,9.47E-03,-5.33E-01,-1.16E+00,-2.02E-01,0.376
-2.97E+00,-4.57E+00,-2.04E+00,-4.09E+00,-2.77E+00,0.378
-1.26E-01,2.42E-01,-1.01E-01,1.93E-01,1.24E-01,0.38
-2.03E-01,-2.07E+00,1.49E+00,-4.55E-01,-3.27E+00,0.382
-1.70E-01,8.18E-01,-1.55E+00,-1.99E-01,3.37E+00,0.384
1.06E+00,-9.18E-01,1.31E+00,-9.36E-01,-1.38E+00,0.386
-9.45E-01,3.14E-01,-7.09E-02,3.09E-01,-1.19E+00,0.388
-4.78E-01,-9.27E-01,-8.55E-01,-1.41E+00,-2.24E+00,0.39
1.92E+00,2.71E+00,1.12E+00,1.78E+00,3.22E+00,0.392
2.62E-01,-1.63E+00,-4.66E-01,-2.33E+00,-2.30E+00,0.394
1.36E+00,9.19E-01,4.71E-01,-4.75E-01,-1.41E+00,0.396
-1.63E+00,-1.02E+00,-1.55E+00,-1.19E+00,-1.10E+00,0.398
